path,role,bytes,modified_utc,sha256,version_basis
Inputs/conspiracy_comments.parquet,raw retained descendant-comment records,64072850,2025-11-13T15:41:38.337661+00:00,5c66d6ad9e9e03ad1ddabd25d3b162c6269b8d18929793bf8e852de42afd042e,frozen input/output; not tracked by Scripts Git
Inputs/conspiracy_threads.parquet,raw eligible root records,3253953,2025-11-13T15:41:36.546191+00:00,8154462f14cf2b12a4e913a068828be9a73bc6d6eb9619fae17ac54a4a1040ca,frozen input/output; not tracked by Scripts Git
Inputs/crypto_comments.parquet,raw retained descendant-comment records,45308463,2025-11-13T15:41:51.637314+00:00,c492bf6d326b638385d3138ff68b5b0a2c09e8f500f6ab2ddf7866c269266f9d,frozen input/output; not tracked by Scripts Git
Inputs/crypto_threads.parquet,raw eligible root records,3655798,2025-11-13T15:41:36.771719+00:00,06655d9490fae4063f3ab76f22c6103c6ac3a94940feeb7ce4c82790c167e185,frozen input/output; not tracked by Scripts Git
Inputs/politics_comments.parquet,raw retained descendant-comment records,650703176,2025-11-13T15:41:49.878336+00:00,2d3f4fff24040aa7dc3648d55428a471c0b8bf1d496002cdfa05f87b21b122c0,frozen input/output; not tracked by Scripts Git
Inputs/politics_threads.parquet,raw eligible root records,6242502,2025-11-13T15:41:36.696027+00:00,43f055ccafc8f1c1cb70dfe93f5174c91259fc990e852a5e668f5ca13053ddff,frozen input/output; not tracked by Scripts Git
Outputs/0_preprocessing/conspiracy/3_model_data_log.xlsx,final preprocessing population table,8420,2025-12-02T20:24:23.604941+00:00,5e2bf999102aca354ddeb1f2b67ff6efd794910885566c038d30d64b4b467445,frozen input/output; not tracked by Scripts Git
Outputs/0_preprocessing/conspiracy/conspiracy_test_Y.parquet,final chronological held-out outcomes,67853,2025-12-02T20:24:23.369832+00:00,1fc9d302c1cf5b1353dd27b762c9ee45c3a3673a464b174e3965c621a2055d71,frozen input/output; not tracked by Scripts Git
Outputs/0_preprocessing/conspiracy/conspiracy_threads_extra_feats.parquet,feature-construction root output,4046064,2025-12-02T20:10:39.736344+00:00,af6e749a2e12e8839e56ecaddff3fa41beb02c0babf6514a40a5b843d925bfca,frozen input/output; not tracked by Scripts Git
Outputs/0_preprocessing/conspiracy/conspiracy_train_Y.parquet,final training outcomes,246989,2025-12-02T20:24:23.294245+00:00,acad63a61e7dfb16069111b074e5fa00e4f10cde6cf9aaddac7acbb1fdb8a62e,frozen input/output; not tracked by Scripts Git
Outputs/0_preprocessing/conspiracy/logs/conspiracy_0_1_construct_features.out,executed preprocessing log,917,2025-12-02T20:10:39.736722+00:00,c7553234c364cdba9e1ae9bb034cfece19e360148f95ca9ea153efe595ffdad7,frozen input/output; not tracked by Scripts Git
Outputs/0_preprocessing/conspiracy/logs/conspiracy_0_2_tfidf_analysis.out,executed preprocessing log,24786,2025-12-02T20:24:19.034161+00:00,ec26cbb14f56a8f67030df9a76217a1defe7bbc0610a3420d46e063fc3462568,frozen input/output; not tracked by Scripts Git
Outputs/0_preprocessing/conspiracy/logs/conspiracy_0_3_model_data.out,executed preprocessing log,7239,2025-12-02T20:24:23.605065+00:00,b1604aae1c0fd957f073be2b467885c3d21fa1a22522f69b589a6bed854330e1,frozen input/output; not tracked by Scripts Git
Outputs/0_preprocessing/conspiracy/tf-idf/conspiracy_svd_enriched_test_data.parquet,held-out row-to-thread mapping,7596046,2025-12-02T20:24:18.962133+00:00,7c09c0101fd6df791e7f3adf2088120a24fa851001fe4f3e9c1f2e8833815942,frozen input/output; not tracked by Scripts Git
